,Id,SalePrice
0,2658,190770.30099852878
1,2718,153363.4820703608
2,2414,210184.76034100645
3,1989,126436.1189277069
4,625,171503.57331904565
5,333,71211.68644647975
6,1327,94548.71392482042
7,858,115811.00124001791
8,95,219334.72991085763
9,1568,162535.3820084507
10,2482,166555.38322429644
11,1364,144200.2850668767
12,2584,179010.2979363295
13,818,266628.40295507037
14,2673,199548.5725669277
15,2089,124006.51117102327
16,1297,202694.42292647436
17,790,123911.02478131559
18,2616,188755.14807626756
19,720,241416.03496725217
20,222,105508.40222226456
21,557,125584.17381636423
22,1148,194948.92380662775
23,2766,186722.48459244898
24,534,192526.44886642759
25,1452,96299.42751246132
26,630,120848.23274740239
27,2648,149496.8730124115
28,125,147938.62779135845
29,1904,11545.48365408479
30,1670,104186.92711629882
31,756,115102.14808181464
32,717,291854.25951861416
33,1032,124967.71193528973
34,852,213169.4172353996
35,1731,202687.7708127469
36,2639,96082.08645509556
37,2071,87651.75251361006
38,1267,105787.45964585344
39,1851,199251.62376071914
40,567,163782.57774548553
41,2439,219312.59048299957
42,1898,147982.5617415667
43,647,146061.2588149395
44,2256,208140.88232884504
45,979,67076.34042779353
46,1444,230725.7268307862
47,2485,101455.40792703567
48,157,106451.95813703543
49,88,103977.41263403639
50,2003,123186.49038244397
51,186,286453.9303610288
52,1425,265556.5395554599
53,2695,136798.46251234805
54,738,111025.89372936741
55,395,140116.02164687117
56,1353,194561.17377970117
57,1878,152448.6131822325
58,390,185770.7667709036
59,1456,253029.80893643154
60,1103,305897.18449191016
61,1387,125834.72375201355
62,2070,122092.18022078907
63,1199,205386.79730346176
64,2479,180736.5987470796
65,501,290447.5214742193
66,2362,44849.46893700809
67,1718,190839.28950223158
68,2188,10041.513598144054
69,1483,145078.22816111502
70,2557,99317.47939805075
71,437,301992.5825587093
72,2224,207287.24267160846
73,1628,198659.04062271735
74,397,110047.51904138917
75,587,201808.00768552447
76,971,176681.55510349595
77,2611,142302.62771322965
78,1887,94697.62601504478
79,2399,318873.4783603556
80,2148,202142.97578745097
81,304,172846.87355479435
82,1997,121826.7564860353
83,2817,120385.67858408211
84,1431,191068.6488772363
85,427,335569.63050293864
86,263,106974.77721702919
87,598,172886.53616956435
88,2895,265928.5357147035
89,687,180089.8911656104
90,1822,100808.29709316813
91,2191,121481.63077552183
92,179,139720.71820615057
93,1009,216693.30531482643
94,2010,112066.45886245667
95,1991,169970.643745597
96,1411,137672.58314062635
97,1721,249274.44064953108
98,1144,197207.23456718313
99,593,240811.17313898914
100,575,269926.69413908635
101,1249,203170.3720703947
102,1604,93119.75534678382
103,1064,394820.4125095134
104,1923,152994.87860139512
105,1988,77346.42948923085
106,2325,168638.74637459754
107,114,227345.03313989122
108,2700,200738.41425883165
109,217,99564.9443856026
