Id,SalePrice
2658,161388.67838849314
2718,155617.52743829042
2414,213457.31612378266
1989,110091.63276994321
625,177803.3117541643
333,88955.88634292688
1327,110671.23407805339
858,150755.91010247264
95,171065.20719172247
1568,159462.32572311256
2482,130631.70622077025
1364,123750.84832879715
2584,141848.88621130772
818,263008.5142053133
2673,152321.16165328957
2089,129300.21304969955
1297,168342.90928597562
790,120074.86077861208
2616,183093.87501280662
720,166264.39038154855
222,156036.07954697777
557,130757.10218119342
1148,167756.92731607053
2766,126929.0209041601
534,178617.6389627559
1452,118849.65606623422
630,111806.45282336138
2648,123140.30915020686
125,156546.53257757425
1904,53278.260942669585
1670,102589.19322204683
756,96338.49847668782
717,223827.75430910848
1032,145312.71357013658
852,206610.6907105809
1731,183562.5932475021
2639,119873.89343878906
2071,131392.15919266827
1267,109491.91133545991
1851,195546.0509370435
567,159351.01304455753
2439,201955.5239882376
1898,150634.98918524012
647,154335.9147059908
2256,191809.41121884994
979,97331.82116205525
1444,213272.00824026577
2485,134525.95370034128
157,134397.07167513948
88,125876.7353418665
2003,116653.36650995631
186,201466.95084534585
1425,235671.1789535191
2695,135095.6905027004
738,100550.16761758458
395,147666.9446217334
1353,174822.16684398614
1878,128097.12776536401
390,146582.42564670276
1456,230407.93402414583
1103,321806.5655376045
1387,150607.71881961543
2070,128821.97301739268
1199,159909.37700023688
2479,173258.71279968508
501,316614.34031152446
2362,77408.53978378978
1718,209273.53197628632
2188,84417.4799354123
1483,136810.7601209907
2557,95246.16645876039
437,359982.9850276802
2224,215038.4046593532
1628,157871.41539637838
397,134566.72221778426
587,192369.4389537992
971,149016.63099590223
2611,125899.8460289631
1887,118712.39388659596
2399,396699.52667501755
2148,187113.09032726008
304,126860.25613126624
1997,110733.10342613235
2817,90890.54883381352
1431,199489.12521020975
427,373135.97667615116
263,128244.81566796638
598,163399.41363639478
2895,221642.558968422
687,118760.36040040292
1822,132514.15152014326
2191,122802.78903154004
179,120434.14933693036
1009,215779.32299595885
2010,151303.84951598663
1991,123301.3201373322
1411,200554.3113588076
1721,228540.77432978712
1144,191880.35441108234
593,204053.3614199506
575,342569.7523480775
1249,168646.28475252446
1604,121441.03919584863
1064,510353.4792878553
1923,148591.02231792547
1988,108812.48051030468
2325,162769.8779342333
114,201231.8291858323
2700,178912.92966504395
217,145823.86079456285
343,169979.61400761548
386,209317.76055109967
2005,119757.64059040882
2908,145918.2668704465
1814,215334.62384884246
2446,488851.28790412005
208,115859.23063311912
1679,111215.42933299579
822,346695.77398737613
6,190616.3409644086
1781,410466.7478888044
2397,325031.92084813956
2340,318347.2888658773
1618,171721.95016392227
2843,150013.7986889016
1061,377336.00118090585
2786,128400.83984817471
1935,140429.55881585833
1341,119065.74840093125
521,255569.59338961076
2136,127363.51433327515
996,214533.94592285063
227,149945.02839222085
135,181825.23790610675
1167,170092.71670470107
294,237078.53188710753
1776,200985.9408405777
540,156712.6132447822
1717,221146.0327998558
2303,126570.93584569544
116,175692.1340853991
127,130978.5321125174
1371,141043.24020906445
1014,155879.86851511244
1507,124366.00857024174
702,121155.3184296824
750,161467.4072604226
261,154771.6632416295
1559,53255.575083584525
577,224654.8870579619
2812,197169.08905580454
2080,166540.93998051807
1368,109196.57540513482
2376,104492.72292603645
659,96312.98922974616
1235,141129.20397666004
332,73049.91352180205
1917,123229.90336709376
2094,257968.63803142123
1460,259841.70793241914
1471,220155.54237315152
1509,125782.29510147218
1922,129792.08566108067
433,513313.95995165594
460,276468.3816638114
1116,230761.25225148536
1137,160071.40005485155
53,165685.81789073907
2354,273248.8728916589
1475,194799.55074820574
1761,525407.3273311388
842,141783.95125084743
2739,182716.3804753432
2509,137166.4936034102
1007,196697.9281875193
2610,184870.82622372638
1952,89245.0192708578
2719,152072.7178262556
2921,83330.20468842145
1966,150741.47300803568
292,105237.24620900024
1204,192788.09274608456
1829,274309.38241830375
2419,194996.20194392838
391,134870.7356525911
798,101290.1452394398
481,195004.1237627091
193,196902.43644100148
555,109947.62350250408
899,49436.566031697206
2357,175722.8819385236
328,131952.59889982268
1356,114040.33378758095
1154,92562.57771224622
1730,182705.15434104484
2249,162988.64618058223
1119,275594.18298241217
2856,137053.01852091402
1394,138067.94960329123
2587,108500.53977635782
61,323569.00013889
2661,161851.76174810342
2711,133067.97370028123
1147,168802.5008898275
757,113141.8802879965
2623,120069.77914716862
2378,139043.45022186358
1413,126557.43523196317
1722,206418.39109120704
1112,219187.63223607093
1623,200661.78037209716
1201,176454.20720785297
1513,117661.10721425712
957,396713.9137461921
1171,243670.65523433592
1145,184437.38540664501
2726,216953.80195433553
703,143390.36441477388
760,88695.44326199032
1964,146018.0745181134
2512,164840.80881831702
159,128020.8177540712
1281,164500.5283156829
468,181147.0481528733
290,113114.87425959669
665,90790.85094941128
1463,246988.2457479881
1792,213659.17342574708
923,172620.09215919953
500,289958.1305062538
1408,197425.90877656545
331,77422.66657294333
170,127238.87580961641
2192,96050.9793661125
2571,292662.6719141407
2314,168169.10063839797
2647,98061.16708658729
422,453149.65989418793
2457,368394.9051274583
1838,190908.30771446228
2805,247263.0040536616
1645,143641.16312480904
1711,306707.0950270379
2825,258998.78380660806
322,330319.92079456616
2103,257131.8893219037
342,118055.50625785999
600,98771.27896178793
488,179340.6622291524
1725,323057.7569915559
2246,295876.76603492256
2847,141396.8988932874
806,236059.9918579189
530,227786.24954470992
963,189052.7153729312
2678,94143.01766700856
171,77503.59167442005
2401,452666.4380765874
805,218507.04262019787
2259,260690.3076456003
1748,174047.8690983327
1361,138071.3634519996
1677,109739.6299526561
1406,163710.221921687
2322,256745.60568846762
688,151800.4852820523
143,144412.45823379979
804,198196.8436260689
1214,205674.93907442875
2828,136349.58032506146
1999,157415.17361758742
2467,209202.04813324846
